NCBI	Name	contrast	z.ratio	padj
1013	Methanobrevibacter	Sexo0 Dieta0 - Sexo1 Dieta0	-0.9513126454178211	1
1013	Methanobrevibacter	Sexo0 Dieta0 - Sexo0 Dieta1	7.291659299624337e-15	1
1013	Methanobrevibacter	Sexo0 Dieta0 - Sexo1 Dieta1	-0.9766324691085101	1
1013	Methanobrevibacter	Sexo1 Dieta0 - Sexo0 Dieta1	1.0421104631293756	1
1013	Methanobrevibacter	Sexo1 Dieta0 - Sexo1 Dieta1	0.025927860591835664	1
1013	Methanobrevibacter	Sexo0 Dieta1 - Sexo1 Dieta1	-1.0814713978240575	1
1014	Methanosphaera	Sexo0 Dieta0 - Sexo1 Dieta0	7.45433996722359e-16	1
1014	Methanosphaera	Sexo0 Dieta0 - Sexo0 Dieta1	-0.6875694333966771	1
1014	Methanosphaera	Sexo0 Dieta0 - Sexo1 Dieta1	-1.2729825853252297	1
1014	Methanosphaera	Sexo1 Dieta0 - Sexo0 Dieta1	-0.6875694338585301	1
1014	Methanosphaera	Sexo1 Dieta0 - Sexo1 Dieta1	-1.2729825851306111	1
1014	Methanosphaera	Sexo0 Dieta1 - Sexo1 Dieta1	-0.6691309403042197	1
103	Acidobacteria_Gp17	Sexo0 Dieta0 - Sexo1 Dieta0	-1.250866668424641	0.9801714373203614
103	Acidobacteria_Gp17	Sexo0 Dieta0 - Sexo0 Dieta1	-0.4593690622303197	0.9801714373203614
103	Acidobacteria_Gp17	Sexo0 Dieta0 - Sexo1 Dieta1	-0.8006151189375145	0.9801714373203614
103	Acidobacteria_Gp17	Sexo1 Dieta0 - Sexo0 Dieta1	0.9030574163718463	0.9801714373203614
103	Acidobacteria_Gp17	Sexo1 Dieta0 - Sexo1 Dieta1	0.5267858908429345	0.9801714373203614
103	Acidobacteria_Gp17	Sexo0 Dieta1 - Sexo1 Dieta1	-0.38795665341199226	0.9801714373203614
1036	Geothrix	Sexo0 Dieta0 - Sexo1 Dieta0	1.5009816421292433e-15	1
1036	Geothrix	Sexo0 Dieta0 - Sexo0 Dieta1	-2.85410327960381	0.06724257673364531
1036	Geothrix	Sexo0 Dieta0 - Sexo1 Dieta1	-0.590409370668879	1
1036	Geothrix	Sexo1 Dieta0 - Sexo0 Dieta1	-2.8541032792696233	0.06724257673364531
1036	Geothrix	Sexo1 Dieta0 - Sexo1 Dieta1	-0.5904093707494599	1
1036	Geothrix	Sexo0 Dieta1 - Sexo1 Dieta1	2.45976623139291	0.13274817701731023
1037	Holophaga	Sexo0 Dieta0 - Sexo1 Dieta0	0.9480236636972239	0.9995044865934652
1037	Holophaga	Sexo0 Dieta0 - Sexo0 Dieta1	0.6279920271959284	0.9995044865934652
1037	Holophaga	Sexo0 Dieta0 - Sexo1 Dieta1	0.11149565011307445	0.9995044865934652
1037	Holophaga	Sexo1 Dieta0 - Sexo0 Dieta1	-0.4034914840215624	0.9995044865934652
1037	Holophaga	Sexo1 Dieta0 - Sexo1 Dieta1	-0.890484812460669	0.9995044865934652
1037	Holophaga	Sexo0 Dieta1 - Sexo1 Dieta1	-0.5491258770297028	0.9995044865934652
1039	Acidimicrobineae	Sexo0 Dieta0 - Sexo1 Dieta0	-1.5085758233308038	0.8645412982196858
1039	Acidimicrobineae	Sexo0 Dieta0 - Sexo0 Dieta1	-1.6057734873242568	0.8645412982196858
1039	Acidimicrobineae	Sexo0 Dieta0 - Sexo1 Dieta1	-2.239085661411368	0.6768272068569381
1039	Acidimicrobineae	Sexo1 Dieta0 - Sexo0 Dieta1	0.006791643201697979	0.9999998874819335
1039	Acidimicrobineae	Sexo1 Dieta0 - Sexo1 Dieta1	-0.6924717738490223	0.9999998874819335
1039	Acidimicrobineae	Sexo0 Dieta1 - Sexo1 Dieta1	-0.7713443973050054	0.9999998874819335
1040	Actinomycineae	Sexo0 Dieta0 - Sexo1 Dieta0	-0.47230001121999843	0.9930724690780237
1040	Actinomycineae	Sexo0 Dieta0 - Sexo0 Dieta1	-1.2720164810037886	0.9930724690780237
1040	Actinomycineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.7667819965744486	0.9930724690780237
1040	Actinomycineae	Sexo1 Dieta0 - Sexo0 Dieta1	-0.7750621110184376	0.9930724690780237
1040	Actinomycineae	Sexo1 Dieta0 - Sexo1 Dieta1	-0.27063809874637185	0.9930724690780237
1040	Actinomycineae	Sexo0 Dieta1 - Sexo1 Dieta1	0.5404041791434396	0.9930724690780237
1043	Corynebacterineae	Sexo0 Dieta0 - Sexo1 Dieta0	-0.7159283326094427	0.9999997741146847
1043	Corynebacterineae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.7620778300607491	0.9999997741146847
1043	Corynebacterineae	Sexo0 Dieta0 - Sexo1 Dieta1	0.10796955198949515	0.9999997741146847
1043	Corynebacterineae	Sexo1 Dieta0 - Sexo0 Dieta1	0.008567713241660413	0.9999997741146847
1043	Corynebacterineae	Sexo1 Dieta0 - Sexo1 Dieta1	0.8717794931289601	0.9999997741146847
1043	Corynebacterineae	Sexo0 Dieta1 - Sexo1 Dieta1	0.9383803648006613	0.9999997741146847
1044	Frankineae	Sexo0 Dieta0 - Sexo1 Dieta0	-1.2113771077497397	0.9964592331434818
1044	Frankineae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.9313657262757731	0.9964592331434818
1044	Frankineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.2156673127187879	0.9964592331434818
1044	Frankineae	Sexo1 Dieta0 - Sexo0 Dieta1	0.3800037203580131	0.9964592331434818
1044	Frankineae	Sexo1 Dieta0 - Sexo1 Dieta1	1.0784304542780097	0.9964592331434818
1044	Frankineae	Sexo0 Dieta1 - Sexo1 Dieta1	0.7699808629201094	0.9964592331434818
1046	Jiangellineae	Sexo0 Dieta0 - Sexo1 Dieta0	6.78416285120525e-16	1
1046	Jiangellineae	Sexo0 Dieta0 - Sexo0 Dieta1	-2.2547034317743617	0.21770205889386696
1046	Jiangellineae	Sexo0 Dieta0 - Sexo1 Dieta1	0.07117907924649529	1
1046	Jiangellineae	Sexo1 Dieta0 - Sexo0 Dieta1	-2.2547034268122705	0.21770205889386696
1046	Jiangellineae	Sexo1 Dieta0 - Sexo1 Dieta1	0.07117907925227863	1
1046	Jiangellineae	Sexo0 Dieta1 - Sexo1 Dieta1	2.5239362665781613	0.21770205889386696
1047	Kineosporiineae	Sexo0 Dieta0 - Sexo1 Dieta0	-1.5602618204097072	0.9719829538735134
1047	Kineosporiineae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.437540574184677	0.9719829538735134
1047	Kineosporiineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.968673961899271	0.9719829538735134
1047	Kineosporiineae	Sexo1 Dieta0 - Sexo0 Dieta1	1.2670936055849222	0.9719829538735134
1047	Kineosporiineae	Sexo1 Dieta0 - Sexo1 Dieta1	0.6888104605015524	0.9719829538735134
1047	Kineosporiineae	Sexo0 Dieta1 - Sexo1 Dieta1	-0.5982496257509329	0.9719829538735134
1048	Micrococcineae	Sexo0 Dieta0 - Sexo1 Dieta0	1.3155374055384226	0.6635455536780165
1048	Micrococcineae	Sexo0 Dieta0 - Sexo0 Dieta1	-2.4506524541955605	0.13583861389551588
1048	Micrococcineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.14542286799537257	0.9989041222859818
1048	Micrococcineae	Sexo1 Dieta0 - Sexo0 Dieta1	-3.6686956053294497	0.008353547610312262
1048	Micrococcineae	Sexo1 Dieta0 - Sexo1 Dieta1	-1.5231545652828387	0.6352725437661884
1048	Micrococcineae	Sexo0 Dieta1 - Sexo1 Dieta1	2.5218330440382317	0.13583861389551588
1049	Micromonosporineae	Sexo0 Dieta0 - Sexo1 Dieta0	-0.5499654898719197	0.9999304278563566
1049	Micromonosporineae	Sexo0 Dieta0 - Sexo0 Dieta1	-1.9061467883111842	0.9999304278563566
1049	Micromonosporineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.5236530709570575	0.9999304278563566
1049	Micromonosporineae	Sexo1 Dieta0 - Sexo0 Dieta1	-1.3473070573773938	0.9999304278563566
1049	Micromonosporineae	Sexo1 Dieta0 - Sexo1 Dieta1	0.057884008600752074	0.9999304278563566
1049	Micromonosporineae	Sexo0 Dieta1 - Sexo1 Dieta1	1.5195404115154663	0.9999304278563566
1050	Propionibacterineae	Sexo0 Dieta0 - Sexo1 Dieta0	-0.3292925480875341	0.9876840337536763
1050	Propionibacterineae	Sexo0 Dieta0 - Sexo0 Dieta1	-1.3927301212714114	0.9876840337536763
1050	Propionibacterineae	Sexo0 Dieta0 - Sexo1 Dieta1	-1.973160705817279	0.9876840337536763
1050	Propionibacterineae	Sexo1 Dieta0 - Sexo0 Dieta1	-1.0490740038784534	0.9876840337536763
1050	Propionibacterineae	Sexo1 Dieta0 - Sexo1 Dieta1	-1.6441359549495067	0.9876840337536763
1050	Propionibacterineae	Sexo0 Dieta1 - Sexo1 Dieta1	-0.6996092037739495	0.9876840337536763
1051	Pseudonocardineae	Sexo0 Dieta0 - Sexo1 Dieta0	0.9010050383294602	0.9764852924967595
1051	Pseudonocardineae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.4116036025406298	0.9764852924967595
1051	Pseudonocardineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.9094225444436088	0.9764852924967595
1051	Pseudonocardineae	Sexo1 Dieta0 - Sexo0 Dieta1	-1.3674429809618878	0.9764852924967595
1051	Pseudonocardineae	Sexo1 Dieta0 - Sexo1 Dieta1	-1.8318840223893265	0.9764852924967595
1051	Pseudonocardineae	Sexo0 Dieta1 - Sexo1 Dieta1	-0.5628760855371313	0.9764852924967595
1052	Streptomycineae	Sexo0 Dieta0 - Sexo1 Dieta0	1.2662529972172503	0.9725545307724257
1052	Streptomycineae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.8892519373902501	0.9725545307724257
1052	Streptomycineae	Sexo0 Dieta0 - Sexo1 Dieta1	0.3582219511229284	0.9842612199187992
1052	Streptomycineae	Sexo1 Dieta0 - Sexo0 Dieta1	-2.18788136978153	0.7592890314236937
