NCBI	Name	contrast	z.ratio	padj
1013	Methanobrevibacter	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.30927412609949295	0.9897477711374765
1013	Methanobrevibacter	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	2.158655428283335	0.4048333971862479
1013	Methanobrevibacter	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.6524881177803394	0.6983688497489109
1013	Methanobrevibacter	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.386821090173035	0.7614111234119645
1013	Methanobrevibacter	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	2.158655428283335	0.4048333971862479
1013	Methanobrevibacter	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.30927412609949295	0.9897477711374765
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-1.6701311307430677	0.6791408931556351
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.251105979058631	0.7130496037863542
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.9884286796538473	0.6791408931556351
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.2918218415590235	0.9913535675738705
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.251105979058631	0.7130496037863542
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-1.6701311307430677	0.6791408931556351
1036	Geothrix	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.02814654157264073	0.999991993341832
1036	Geothrix	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.10864324908265731	0.999991993341832
1036	Geothrix	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.09547764796520702	0.999991993341832
1036	Geothrix	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.05802902541280854	0.999991993341832
1036	Geothrix	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.10864324908265731	0.999991993341832
1036	Geothrix	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.02814654157264073	0.999991993341832
1037	Holophaga	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.154860558171378	0.9986780174118363
1037	Holophaga	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.1959173774783485	0.9986780174118363
1037	Holophaga	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.7015597194094814	0.9986780174118363
1037	Holophaga	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.0266676840956674	0.9986780174118363
1037	Holophaga	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.1959173774783485	0.9986780174118363
1037	Holophaga	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.154860558171378	0.9986780174118363
1039	Acidimicrobineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-1.1028638591523985	0.8253220941853597
1039	Acidimicrobineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.126728237439645	0.8253220941853597
1039	Acidimicrobineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.6186966911481042	0.8253220941853597
1039	Acidimicrobineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.03345597071418375	0.9999865555261513
1039	Acidimicrobineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.126728237439645	0.8253220941853597
1039	Acidimicrobineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-1.1028638591523985	0.8253220941853597
1040	Actinomycineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.8679594673205635	0.9903773837559996
1040	Actinomycineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.4278831953991057	0.9903773837559996
1040	Actinomycineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.3026567589400477	0.9903773837559996
1040	Actinomycineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.9361625283896048	0.9903773837559996
1040	Actinomycineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.4278831953991057	0.9903773837559996
1040	Actinomycineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.8679594673205635	0.9903773837559996
1042	Catenulisporineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-1.1177477244744896	0.9953052168071133
1042	Catenulisporineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.2372200692100421	0.9953052168071133
1042	Catenulisporineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.6159774077806331	0.9953052168071133
1042	Catenulisporineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.9619028194154808	0.9953052168071133
1042	Catenulisporineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.2372200692100421	0.9953052168071133
1042	Catenulisporineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-1.1177477244744896	0.9953052168071133
1043	Corynebacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.09840309224132995	0.9996589994851632
1043	Corynebacterineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.1335664365090126	0.9996589994851632
1043	Corynebacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.8798294721154734	0.9996589994851632
1043	Corynebacterineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.7244781936655511	0.9996589994851632
1043	Corynebacterineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.1335664365090126	0.9996589994851632
1043	Corynebacterineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.09840309224132995	0.9996589994851632
1044	Frankineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.8676180043824172	0.9859112227383121
1044	Frankineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.3196024745210402	0.9859112227383121
1044	Frankineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.31315886276390287	0.9893661402671454
1044	Frankineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.670302038403728	0.9859112227383121
1044	Frankineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.3196024745210402	0.9859112227383121
